ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
CE,Celanese,CELANESE CORP,Celanese Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,2018-12-24,2025-03-23,1.0027501642182648,6,false,""
CEG,Constellation Energy Group,CONSTELLATION ENERGY CORP|CONSTELLATION ENERGY GROUP INC,Constellation Energy Corporation,1.0,NMS,USD,EQUITY,2022-01-19,1900-01-01,2012-03-12,,,false,""
CELG,Celgene,CELGENE CORP /DE/,,,,,NONE,,1900-01-01,2019-11-20,,,false,""
CEPH,Cephalon,CEPHALON INC,1084041,,YHD,,MUTUALFUND,,1900-01-01,2011-10-13,,,false,""
CERN,Cerner,CERNER CORP|CERNER CORP /MO/,,,,,NONE,,2010-04-29,2022-06-07,,,false,""
CFC,Countrywide Financial Corp,,3847602,,YHD,,MUTUALFUND,2008-01-02,1900-01-01,2008-06-30,,,false,""
CFN,Carefusion,CAREFUSION CORP,1232,,YHD,,MUTUALFUND,,1900-01-01,2015-03-17,,,false,""
CHK,Chesapeake Energy,CHESAPEAKE ENERGY CORP|EXPAND ENERGY CORP,,,,,,,1900-01-01,2018-03-18,,,false,no_info
CIEN,Ciena,CIENA CORP,Ciena Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2009-12-17,,,false,""
CLF,Cliffs Natural Resources,CLEVELAND-CLIFFS INC.|CLIFFS NATURAL RESOURCES INC.,Cleveland-Cliffs Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,2009-12-18,2014-04-01,0.9851687387193082,4,false,""
CMA,Comerica,COMERICA INC|COMERICA INC /NEW/,,,,,,,1900-01-01,2024-06-23,,,false,no_info
CMCSK,Comcast Series K,COMCAST CORP,5553128,,YHD,,MUTUALFUND,,2015-09-18,2015-12-14,,,false,""
CNX,Consol Energy,CNX RESOURCES CORP|CONSOL ENERGY INC,CNX Resources Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2016-03-03,1.8824554119731172,7,false,""
COL,Rockwell Collins,ROCKWELL COLLINS INC,,,,,,2012-08-02,1900-01-01,2018-12-02,0.0007981462503372542,6,true,"no_info; price level 0.0007981 outside [0.5, 20]; first price 2012-08-02 is over 24 months after membership start 2008-01-01"
COTY,Coty,COTY INC.,Coty Inc.,1.0,NYQ,USD,EQUITY,2013-06-13,2016-09-30,2020-09-20,1.6789226090924743,4,false,""
COV,Covidien,COVIDIEN PLC,,,YHD,,MUTUALFUND,,1900-01-01,2015-01-26,,,false,""
CPB,Campbell's,CAMPBELL SOUP CO|CAMPBELL'S CO,The Campbell's Company,1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2026-06-21,1.5861449303253676,16,false,""
CPGX,Columbia Pipeline Group,"COLUMBIA PIPELINE GROUP, INC.","Columbia Pipeline Group, Inc.",1.0,YHD,,MUTUALFUND,,2015-07-02,2016-07-04,,,false,""
CPRI,Capri Holdings,CAPRI HOLDINGS LTD|MICHAEL KORS HOLDINGS LTD,Capri Holdings Limited,1.0,NYQ,USD,EQUITY,2011-12-15,2013-11-13,2020-05-11,1.0396902166099615,6,false,""
CPWR,Compuware,COMPUWARE CORP,Ocean Thermal Energy Corporation,0.0,OID,USD,EQUITY,,1998-12-11,2011-12-30,,,true,name overlap 0.00; exchange OID
CSC,Computer Sciences Corporation,COMPUTER SCIENCES CORP,CSC Collective Holdings Ltd,0.0,YHD,,MUTUALFUND,,1900-01-01,2015-11-30,,,true,name overlap 0.00
CSRA,CSRA,CSRA INC.,Cohen & Steers Real Assets Active ETF,0.0,PCX,USD,EQUITY,,2015-12-01,2018-04-03,,,true,name overlap 0.00
CTLT,Catalent,"CATALENT, INC.",,,,,NONE,,2020-09-21,2024-12-22,,,false,""
CTRA,Coterra Energy,CABOT OIL & GAS CORP|COTERRA ENERGY INC.,,,,,,,1900-01-01,2026-05-06,,,false,no_info
CTX,Centex Corp.,,1692817,,YHD,,MUTUALFUND,,1900-01-01,2009-08-18,,,false,""
CTXS,Citrix Systems,CITRIX SYSTEMS INC,,,,,NONE,,1900-01-01,2022-10-02,,,false,""
CVC,Cablevision Systems,CABLEVISION SYSTEMS CORP /NY,2393377,,YHD,,MUTUALFUND,,2010-12-17,2016-06-21,,,false,""
CVG,Convergys,CONVERGYS CORP,Convergys Corporation,1.0,YHD,,MUTUALFUND,2008-01-02,2000-06-12,2009-12-17,,,false,""
CVH,Coventry Health Care,COVENTRY HEALTH CARE INC,945553,,YHD,,MUTUALFUND,,1900-01-01,2013-05-07,,,false,""
CXO,Concho Resources,CONCHO RESOURCES INC,,,,,NONE,,2016-02-22,2021-01-20,,,false,""
CZR,Caesars Entertainment,"CAESARS ENTERTAINMENT, INC.|ELDORADO RESORTS, INC.","Caesars Entertainment, Inc.",1.0,NMS,USD,EQUITY,2014-09-22,2021-03-22,2025-09-21,1.0494465863151659,5,false,""
DAY,Dayforce,"CERIDIAN HCM HOLDING INC.|DAYFORCE, INC.",,,,,,,2024-02-01,2026-02-08,,,false,no_info
