ticker,sector,months,mean_gap,crossings,replica_op,naive_op,operating_income_fallback,log_pretax_over_ni_plus_tax,interest_over_ni_plus_tax,log_equity_fy_over_equity,driver
HES,Energy,36,0.05824739141407458,0,0.17724039829302987,0.17543859649122806,0.0,0.21613036731939383,0.0,0.024527123019495514,pretax_income
GOOG,Information Technology,18,0.05816410615894742,0,0.16603099336838126,0.17411721586548923,0.0,0.04755424884322515,0.0,0.06737242050917759,none of the three (rank gap under noise)
USB,Financials,23,0.057755870000413885,0,0.18884537737455306,0.23226230146182472,0.0,0.013306235220048868,0.21365022877478393,0.022630133553728674,interest add-back
INTC,Information Technology,23,0.05702753811045325,0,0.21647555616588848,0.21647555616588848,0.0,0.0,0.0,0.016987654539795928,none of the three (rank gap under noise)
PGR,Financials,36,0.056921478099085335,0,0.2752937101290304,0.2752937101290304,0.0,0.0,0.0,0.061777513127059765,none of the three (rank gap under noise)
LNC,Financials,36,0.056891968200610855,0,0.12124591138864109,0.12124591138864109,0.0,0.0005006257926836564,0.0,0.07353900906633569,none of the three (rank gap under noise)
AGN,Health Care,36,0.056440707282477964,0,0.26268181117335665,0.2349300656021785,0.0,0.0024160121452067636,0.051960648468892895,0.04477362862423789,none of the three (rank gap under noise)
MU,Information Technology,36,0.056121664469213926,0,0.14056005250492234,0.15631152920586305,0.0,0.14927760565512752,0.17063870352716873,0.0399884544862587,interest add-back
TEG,Utilities,30,0.055956883904747845,0,0.1466719545244233,0.18744777366599022,0.0,0.008522778861982626,0.27689472471780696,0.009162937946792413,interest add-back
TXN,Information Technology,36,0.05593055307174542,0,0.25483482927732026,0.25483482927732026,0.0,0.0,0.0,0.008945973532075978,none of the three (rank gap under noise)
TFC,Financials,36,0.05584944048104617,0,0.1315553880224285,0.17602700688324785,0.0,0.0,0.2852112676056338,0.034000244779989613,interest add-back
AXP,Financials,36,0.05531442309625603,0,0.40459581452605664,0.5050266721378744,0.0,0.0,0.24822515212981744,0.02437229547368987,interest add-back
ALTR,Information Technology,35,0.055269184062979496,0,0.1594810559049688,0.17273464876107256,0.0,0.0,0.03533562150084532,0.03384487200214113,none of the three (rank gap under noise)
EOG,Energy,36,0.05516900980331638,0,0.23836435275405926,0.23817853651911647,1.0,,0.068509691622009,0.03699149760722226,pretax_income (missing; operating income used)
ADSK,Information Technology,36,0.05516855310383398,0,0.12376741101039133,0.12376741101039133,0.0,0.0,0.0,0.006748139316956054,none of the three (rank gap under noise)
ISRG,Health Care,36,0.055042529460709165,0,0.24872907979665276,0.24872907979665276,0.0,0.0,0.0,0.07575862661731739,none of the three (rank gap under noise)
WMT,Consumer Staples,36,0.054708539164515776,0,0.3233361746770704,0.316398924660678,0.0,0.021688733234450218,0.0,0.036743661218289446,none of the three (rank gap under noise)
ALXN,Health Care,36,0.05462335868826589,0,0.22092844108024964,0.22265466426596264,0.0,0.0,0.00781349461967169,0.1256402938555047,equity
GD,Industrials,36,0.054399363292650695,0,0.24874146610578582,0.23984552789462796,0.0,0.03641898598931075,0.0,0.05271477178856711,none of the three (rank gap under noise)
L,Financials,23,0.054369547943818056,0,0.07344023023949019,0.07179566245246172,0.0,0.4030188374491372,0.46282722513089003,0.011751016535518853,interest add-back
TIF,Consumer Discretionary,36,0.05410914180388221,0,0.24765000777302162,0.24765000777302162,0.0,0.0,0.0,0.044472957324865676,none of the three (rank gap under noise)
UAA,Consumer Discretionary,20,0.05383022619777911,0,0.25343257053988005,0.25343257053988005,0.0,0.0,0.0,0.05109785190897987,none of the three (rank gap under noise)
CTXS,Information Technology,36,0.053619719996183486,0,0.12684039942124864,0.13140880979006508,0.0,0.0,0.0,0.03114674284401734,none of the three (rank gap under noise)
BAC,Financials,36,0.05341408573458684,0,0.028155303917098955,0.08362734009689562,0.0,0.0,1.5950401167031365,0.02010720884961279,interest add-back
HPQ,Information Technology,36,0.05336971578734815,0,0.24529572406569153,0.2387326267923283,0.6388888888888888,0.0,0.0,0.014468915165896247,pretax_income (missing; operating income used)
SJM,Consumer Staples,36,0.053334400868086565,0,0.15873601615910504,0.15873601615910504,0.0,0.0,0.0,0.010817598921022973,none of the three (rank gap under noise)
APC,Energy,36,0.0528322979275636,0,0.09635357093837214,0.08994830031568833,0.0,0.06878939198680895,0.0,0.07633464005559706,none of the three (rank gap under noise)
URBN,Consumer Discretionary,36,0.05257151825130214,0,0.2736886177312874,0.2736886177312874,0.0,0.0,0.0,0.11991549681351679,equity
NVDA,Information Technology,36,0.05223905392725021,0,0.13713333235288086,0.13781564441723113,0.0,0.0,0.020466277579401632,0.05417632680644863,none of the three (rank gap under noise)
PCAR,Consumer Discretionary,36,0.05223388446927266,0,0.2785920744326053,0.2785920744326053,0.0,0.0,0.0,0.03912067652915442,none of the three (rank gap under noise)
FLIR,Industrials,36,0.05187146910538923,0,0.15500881180141549,0.1640740651011043,0.0,0.0,0.05848218042792621,0.014849785157196751,none of the three (rank gap under noise)
HSIC,Health Care,10,0.05183576820271927,0,0.2521017602397503,0.2508336312915083,0.0,0.03972487793841109,0.035290389871011185,0.01754461561880451,none of the three (rank gap under noise)
WFM,Consumer Staples,36,0.05168762558280473,0,0.23053120165033522,0.23062248581743167,0.0,0.0,0.0,0.025443286183340276,none of the three (rank gap under noise)
EMN,Materials,36,0.051457219845916384,0,0.28205128205128205,0.2809116809116809,0.0,0.004177863432893785,0.0,0.04043464795547222,none of the three (rank gap under noise)
IGT,Consumer Discretionary,17,0.051006085625365856,0,0.286191350809818,0.2830188679245283,0.0,0.011147079343174424,0.0,0.04537331796021308,none of the three (rank gap under noise)
UPS,Industrials,36,0.050890199784831586,0,1.0308928019771393,1.089589125733704,0.0,0.0,0.07612680612464956,0.14021771505291075,equity
VFC,Consumer Discretionary,36,0.05063678598749669,0,0.2571137452160082,0.2571137452160082,0.0,0.0,0.0,0.04252198645529525,none of the three (rank gap under noise)
CVX,Energy,36,0.050403009715800855,0,0.24079054140148745,0.23962364113122264,0.0,0.0033943409847960577,0.0,0.010327872061973112,none of the three (rank gap under noise)
GGP,Real Estate,25,0.0502316941199568,0,0.10269610931392978,0.12827563601728273,1.0,,2.431910404691075,0.06874621186201967,pretax_income (missing; operating income used)
CA,Information Technology,36,0.05002739573437993,0,0.19822222222222222,0.20462222222222223,0.0,0.01433373800208029,0.0,0.01901800583576186,none of the three (rank gap under noise)
CI,Health Care,36,0.05000440579383454,0,0.2535571706418262,0.2534548060190398,0.0,0.0,0.0,0.011220458446378917,none of the three (rank gap under noise)
TMO,Information Technology,36,0.04980633395967499,0,0.08208371323077719,0.07793617740758539,0.0,0.004405293467916418,0.0,0.01913593598960748,none of the three (rank gap under noise)
CSX,Industrials,36,0.04976532896391894,0,0.27817974105102816,0.3316831683168317,0.0,0.0,0.19095816464237517,0.03754459959980344,interest add-back
GMCR,Consumer Staples,22,0.049432707436096505,0,0.26726171046130015,0.270641900770843,0.0,0.0,0.01264749186746043,0.21346422409370971,equity
HAL,Energy,36,0.049356631995264605,0,0.24243577545195052,0.24548049476688868,0.0,0.012480661223609142,0.0,0.03943918261578844,none of the three (rank gap under noise)
EMR,Industrials,36,0.04924092373591958,0,0.302574065080136,0.29713453132588635,0.0,0.018141087070650003,0.0,0.01757974608915463,none of the three (rank gap under noise)
TDC,Information Technology,36,0.04910039554069874,0,0.28939660222612773,0.28939660222612773,0.0,0.0,0.0,0.008110344537453643,none of the three (rank gap under noise)
MDLZ,Consumer Staples,36,0.04892591385970066,0,0.07388873443919315,0.10041905944435822,0.0,0.5078949120179099,0.0,0.016629870844227457,pretax_income
ATI,Materials,23,0.04878188945066162,0,0.09840296822068076,0.09461203419906436,0.0,0.039286289073826836,0.0,0.0030201162545303462,none of the three (rank gap under noise)
XOM,Energy,36,0.04873151051971746,0,0.33166669540180344,0.3267299989080648,0.0,0.021436733364931765,0.0043068817912413565,0.011822683569466426,none of the three (rank gap under noise)
CTSH,Information Technology,36,0.04850357027717723,0,0.2750936268852704,0.2750936268852704,0.0,0.0,0.0,0.08434925157019338,none of the three (rank gap under noise)
ITW,Industrials,36,0.04840819841141433,0,0.3408703878902554,0.3965941343424787,0.0,0.09901234866582427,0.06657789613848203,0.03259747298534336,none of the three (rank gap under noise)
KSS,Consumer Discretionary,36,0.04833738274821468,0,0.23486115757778522,0.23486115757778522,0.0,0.0,0.0,0.012461408574511008,none of the three (rank gap under noise)
SNDK,Information Technology,36,0.048320912004559284,0,0.21759139662726296,0.21759139662726296,0.0,0.0,0.0,0.01489538811516217,none of the three (rank gap under noise)
NRG,Utilities,36,0.04824338974301068,0,0.011562178828365879,0.08478116396088484,0.0,0.052239219099419816,2.8491379310344827,0.022078070891473824,interest add-back
HAR,Industrials,36,0.048162610015295836,0,0.1707316435355133,0.1759075476771443,0.0,0.0003025881066917759,0.07389626498828501,0.03273929060971988,none of the three (rank gap under noise)
DISCA,Communication Services,36,0.04805680276021812,0,0.2801807617817947,0.2798579728857327,0.0,0.0011527378798082617,0.0,0.007893189485132446,none of the three (rank gap under noise)
DOC,Real Estate,35,0.04795887041614733,0,0.07945455223671817,0.1268921577111467,0.0,0.09342449649296154,0.4766938794536051,0.0035795155876937467,interest add-back
BIIB,Health Care,36,0.04774814285978789,0,0.28776210691068765,0.28576401915398664,0.0,0.005566270465541901,0.0,0.07636467004985832,none of the three (rank gap under noise)
LLY,Health Care,36,0.047746011514730485,0,0.3340233900881382,0.3340233900881382,0.0,0.0,0.0,0.01978438872409034,none of the three (rank gap under noise)
ARG,Industrials,36,0.04746003903480815,0,0.29984260986206496,0.29984260986206496,0.0,0.0,0.0,0.0494032215586102,none of the three (rank gap under noise)
WBA,Consumer Staples,27,0.04716100849077631,0,0.18512831761351173,0.19056414244515732,0.0,0.0,0.04236200256739409,0.03961925353080162,none of the three (rank gap under noise)
CTRA,Energy,36,0.04641960141496377,0,0.11158616658073131,0.11158616658073131,0.0,0.0,0.0,0.02194537619593338,none of the three (rank gap under noise)
BLK,Financials,36,0.04618175450101303,0,0.150151171579743,0.1574074074074074,0.0,0.005173912087965326,0.05336368234699039,0.004790549859538577,none of the three (rank gap under noise)
ADI,Information Technology,36,0.045908788609884954,0,0.17202445957191106,0.177742692595287,0.0,0.0,0.033240813763379666,0.039700185067231816,none of the three (rank gap under noise)
DISCK,Communication Services,17,0.04588218912400976,0,0.31185290967511603,0.31220992502677614,0.0,0.0011441648845455247,0.0,0.026991088085772545,none of the three (rank gap under noise)
LOW,Consumer Discretionary,36,0.045758459169327734,0,0.309879355437442,0.309879355437442,0.0,0.0,0.0,0.05609271213396545,none of the three (rank gap under noise)
DHR,Information Technology,36,0.0455973272527748,0,0.15832566455446587,0.16581863991101303,0.0,0.0,0.04091418956814358,0.03240685304857992,none of the three (rank gap under noise)
BAX,Health Care,36,0.04528951301469411,0,0.3011934302256883,0.3682266009852217,0.0,0.0,0.0,0.01638973862001786,none of the three (rank gap under noise)
PCP,Materials,36,0.045164949958452785,0,0.22843843316353415,0.2209717265989569,0.0,0.004220224947670186,0.02909647779479326,0.0346975307483213,none of the three (rank gap under noise)
AMGN,Health Care,36,0.04475221550205512,0,0.23827842143374367,0.23827842143374367,0.0,0.0,0.0,0.03681448196772827,none of the three (rank gap under noise)
